"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3242456,"June 21, 2025",Texas,Houston,"11711 Hillbrook Dr",2,1,1,0,0,N/A
3239596,"June 18, 2025","New York",Mina,"2900 Mina French Creek Rd",0,1,1,0,0,N/A
3239177,"June 18, 2025",Indiana,Chesterton,"501 Gateway Blvd",0,1,1,0,0,N/A
3238841,"June 17, 2025",Maryland,Baltimore,"Laurens St and Pennsylvania Ave",0,1,1,0,0,N/A
3239323,"June 17, 2025",Missouri,"Sweet Springs","115th Rd and Belmont Ave",0,1,1,0,0,N/A
3234072,"June 15, 2025",Tennessee,Columbia,"2491 New Lewisburg Hwy",0,1,1,0,0,N/A
3231447,"June 12, 2025",Maryland,Hagerstown,"700 block of Forrest Dr",0,1,0,0,1,N/A
3231643,"June 12, 2025",Texas,Beaumont,"2200 block of Fillmore St",0,1,1,0,0,N/A
3232286,"June 12, 2025",Wisconsin,Milwaukee,"4800 block of N 46th St",0,1,0,1,1,N/A
3228606,"June 8, 2025",Arizona,Nogales,"AZ-82 and N Grand Ave",0,1,0,0,1,N/A
3227978,"June 7, 2025",California,Lancaster,"10th St W and W Ave J 12",0,1,1,0,0,N/A
3223861,"June 1, 2025",Missouri,"Lee's Summit","3500 SW Hollywood Dr",0,1,0,0,1,N/A
3223691,"June 1, 2025",Texas,"El Paso","6400 block of Passo Via Dr",0,1,1,0,0,N/A
3222464,"May 31, 2025","North Carolina",Monroe,"N Martin Luther King Jr Blvd and Goldmine Dr",1,1,1,0,0,N/A
3221335,"May 29, 2025",Illinois,Chicago,"4300 block of W North Ave",0,1,1,0,0,N/A
3220181,"May 28, 2025",Ohio,Columbus,"Mecca Rd and Perdue Ave",0,2,0,1,1,N/A
3218037,"May 25, 2025","South Carolina","North Myrtle Beach","2111 Little River Neck Rd",0,1,0,0,0,N/A
3214446,"May 21, 2025",Iowa,Bettendorf,"2602 Cypress Dr",0,2,0,1,1,N/A
3212005,"May 17, 2025",Illinois,"Fairview Heights","Potomac Dr",0,3,0,0,1,N/A
3211859,"May 16, 2025",Michigan,Detroit,"Lodge Service Dr and Wyoming Ave",0,1,1,0,0,N/A
3207952,"May 11, 2025",Tennessee,Nashville,"639 Lafayette St",0,2,1,0,0,N/A
3205851,"May 9, 2025",California,Bakersfield,"616 Water St",0,2,0,1,1,N/A
3205926,"May 8, 2025",Texas,Dimmitt,"FM 1055",0,1,1,0,0,N/A
3205694,"May 8, 2025",Arizona,"Tonto Basin",N/A,0,3,0,0,1,N/A
3204638,"May 7, 2025",Pennsylvania,Philadelphia,"N 59th St and W Columbia Ave",0,1,0,0,1,N/A
3204534,"May 6, 2025",Texas,Iraan,"W 6th St and Farr St",0,1,1,0,0,N/A
3202426,"May 5, 2025",Michigan,Detroit,"20000 block of Murray Hill St",0,1,1,0,0,N/A
3202516,"May 5, 2025",Michigan,"Muskegon (Muskegon Heights)","2300 block of Baker St",0,1,1,0,0,N/A
3203878,"May 5, 2025",Georgia,Albany,"205 Slater King Dr",0,1,0,0,1,N/A
3201602,"May 4, 2025",Texas,Houston,"3200 block of San Felipe St",0,1,1,0,0,N/A
3200093,"May 2, 2025",Missouri,"Malta Bend (Grand Pass)","27000 block of Hwy BB",0,2,0,0,1,N/A
3196387,"April 28, 2025",Colorado,Pueblo,"4th St and Glendale Ave",0,1,0,1,1,N/A
3195965,"April 27, 2025","South Carolina",Sumter,"1250 Winkles Rd",0,1,0,0,0,N/A
3195766,"April 26, 2025",Georgia,Grovetown,"Jimmie Dyess Pkwy and Belair Frontage Rd",1,1,1,0,0,N/A
3195295,"April 25, 2025",Nevada,Reno,"2610 Riverside Dr",0,1,0,0,0,N/A
3195844,"April 25, 2025",California,Susanville,"2610 Riverside Dr",0,1,0,0,0,N/A
3192954,"April 24, 2025",Georgia,Atlanta,"157 Forsyth St SW",0,1,0,0,0,N/A
3191816,"April 23, 2025",Virginia,Fairfax,"13000 Lee Jackson Mem Hwy",0,2,1,0,0,N/A
3192603,"April 23, 2025",Vermont,Milton,"78 Main St",0,1,1,0,0,N/A
3191363,"April 22, 2025",Tennessee,"Mountain City","5045 US-421",0,1,0,1,1,N/A
3189952,"April 21, 2025",Texas,Houston,"1115 Congress St",0,1,0,1,1,N/A
3191309,"April 21, 2025",California,"California City","Corwin St and Lime Ave",0,1,0,1,1,N/A
3189938,"April 20, 2025",Florida,"Lake City","NE Center Ave and NE Denver St",0,1,0,0,1,N/A
3188121,"April 18, 2025",Georgia,Atlanta,"4120 Fulton Industrial Blvd",0,2,1,0,0,N/A
3188662,"April 18, 2025",Florida,Bartow,"600 N Broadway Ave",0,2,1,0,0,N/A
3187553,"April 17, 2025",Georgia,Dallas,"Hemlock Glen",0,1,1,0,0,N/A
3189613,"April 17, 2025",Tennessee,Greeneville,"1435 Hal Henard Rd",0,1,0,0,0,N/A
3184140,"April 13, 2025",Florida,"Winter Haven (Eloise)","6th St",0,1,0,0,0,N/A
3178837,"April 6, 2025",Pennsylvania,Pottstown,"21 Winding Rd",0,1,1,0,0,N/A
3177436,"April 4, 2025",Utah,"Ogden (West Haven)","1206 W 2100 S St",0,1,1,0,0,N/A
3177416,"April 4, 2025",Georgia,Vienna,"I-75 and E Union St",0,1,1,0,0,N/A
3175699,"April 2, 2025",Oklahoma,Guthrie,"Midwest Blvd and Seward Rd",0,2,1,0,0,N/A
3175157,"April 1, 2025","South Dakota","Sioux Falls","W 12th St and Elmwood Ave",0,1,0,1,1,N/A
3171909,"March 28, 2025",Virginia,Lambsburg,"227 Old Pipers Gap Rd",0,3,1,0,0,N/A
3171144,"March 27, 2025",Michigan,Kalamazoo,"1220 Howard St",0,1,0,1,0,N/A
3169662,"March 25, 2025",Alabama,Florence,"US-72 and Co Rd 323",0,2,1,0,0,N/A
3164999,"March 20, 2025",Pennsylvania,Philadelphia,"4641 Roosevelt Blvd",0,1,1,0,0,N/A
3165560,"March 19, 2025",Washington,Curlew,"231 Boulder Creek Rd",1,1,1,0,0,N/A
3164116,"March 18, 2025",Kentucky,Vanceburg,"KY-57 and Cabin Creek Rd",0,1,1,0,0,N/A
3163642,"March 18, 2025",Colorado,Pueblo,"W Mesa Ave and Cedar St",0,3,1,0,0,N/A
3163010,"March 18, 2025",Alabama,Wetumpka,"705 Dozier Rd",0,2,0,1,1,N/A
3162305,"March 16, 2025",Oklahoma,"Webbers Falls","W Lynch St and N Smith St",0,1,0,1,1,N/A
3161281,"March 14, 2025",Hawaii,Hilo,"111 Puainako St",0,1,1,0,0,N/A
3160023,"March 13, 2025",Maryland,Catonsville,"901 Walker Ave",0,1,0,1,1,N/A
3159350,"March 12, 2025",Tennessee,"Johnson City","400 block of S Barton St",0,1,0,0,1,N/A
3158970,"March 12, 2025",Florida,Jacksonville,"Trout River Blvd and Ribault Ave",0,1,1,0,0,N/A
3158165,"March 11, 2025",Kentucky,Cadiz,"I-24 and US-68",0,1,1,0,0,N/A
3157954,"March 10, 2025",Virginia,Portsmouth,"80 block of Pepperwood Pl",0,1,0,0,1,N/A
3158126,"March 10, 2025",Colorado,"Fort Collins","1420 E Stuart St",0,1,0,1,1,N/A
3156146,"March 8, 2025",Texas,Longview,"700 block of Lincoln Dr",0,1,0,0,1,N/A
3155344,"March 7, 2025","North Carolina",Charlotte,"12000 block of Headquarters Farm Rd",0,2,1,0,0,N/A
3155535,"March 7, 2025","New Jersey",Newark,"Carteret St and Broadway",1,1,0,1,1,N/A
3155725,"March 7, 2025",Tennessee,Lexington,"700 block of Natchez Trace Dr",0,1,1,0,0,N/A
3150540,"March 1, 2025",Texas,Bryan,"1828 Sandy Point Rd",0,1,0,0,1,N/A
3150223,"February 28, 2025",Virginia,Fredericksburg,"Cross Cut Ln and N Jenny Lynn Rd",1,1,0,0,0,N/A
3149472,"February 28, 2025",California,"La Crescenta","4554 Briggs Ave",0,1,0,0,0,N/A
3149143,"February 27, 2025",Arizona,Maricopa,"18141 N John Wayne Pkwy",0,1,1,0,0,N/A
3147941,"February 25, 2025",Georgia,Jonesboro,"300 block of Arrowhead Blvd",0,2,0,1,0,N/A
3145452,"February 24, 2025",Texas,Garland,"W Wanda Dr and S First St",0,1,1,0,0,N/A
3149858,"February 24, 2025",Florida,"Daytona Beach","1770 Technology Blvd",0,1,0,0,0,N/A
3145602,"February 24, 2025",California,Oakland,"930 84th Ave",0,1,0,1,0,N/A
3144239,"February 22, 2025","New Mexico",Albuquerque,"Truman St SE and Gibson Blvd SE",0,1,1,0,0,N/A
3144855,"February 22, 2025",California,"Burlingame (Hillsborough)","1600 Floribunda Ave",0,1,0,0,0,N/A
3144174,"February 22, 2025",Pennsylvania,York,"1701 Innovation Dr",1,5,1,0,0,N/A
3143570,"February 20, 2025",Colorado,Brighton,"20400 block of E 160th Ave",0,3,1,0,0,N/A
3142954,"February 19, 2025",Texas,"Corpus Christi","4700 block of Lansdown Dr",0,1,0,0,1,N/A
3141515,"February 18, 2025","New York","New York (Manhattan)","384 Madison St",0,1,0,1,0,N/A
3141657,"February 17, 2025",Tennessee,Vonore,"900 block of Smokey Branch Rd",0,1,0,1,0,N/A
3140966,"February 17, 2025",Virginia,Danville,"2100 block of Riverside Dr",0,1,0,1,1,N/A
3140258,"February 16, 2025",Mississippi,Flowood,"2389 Lakeland Dr",0,1,1,0,0,N/A
3140245,"February 15, 2025",California,Lemoore,"16000 block of Sisco Ct",0,2,0,0,1,N/A
3139026,"February 13, 2025",Connecticut,Waterbury,"16 Clairmont St",0,1,0,0,1,N/A
3137718,"February 12, 2025",Michigan,Detroit,"9200 block of Stahelin Ave",0,1,0,0,1,N/A
3137821,"February 12, 2025",Wisconsin,Milwaukee,"700 block of N 27th St",0,1,1,0,0,N/A
3137110,"February 11, 2025",Pennsylvania,Philadelphia,"N 23rd St and W Indiana Ave",0,1,1,0,0,N/A
3138636,"February 10, 2025",Maryland,Laurel,"9200 Powder Mill Rd",0,1,0,0,0,N/A
3134167,"February 6, 2025",Florida,Quincy,"3749 Pat Thomas Pkwy",2,3,1,0,0,N/A
3131403,"February 3, 2025",Maine,"Portage (Portage Lake)","20 Ranger St",0,1,1,0,0,N/A
3127676,"January 29, 2025",Connecticut,"New Haven","657 Grand Ave",0,2,1,0,0,N/A
3125975,"January 27, 2025",Indiana,Elkhart,"575 E Jackson Blvd",2,2,1,0,0,N/A
3124183,"January 25, 2025",Florida,Arcadia,"FL-72 and Thigpen Rd",0,1,1,0,0,N/A
3124282,"January 24, 2025",Pennsylvania,Bernville,"E 5th St",0,1,0,0,0,N/A
3123112,"January 24, 2025","New Mexico",Albuquerque,"3958 Montgomery Blvd NE",0,2,1,0,0,N/A
3124792,"January 24, 2025",Alaska,Kasilof,"Crooked Creek Rd",0,1,1,0,0,N/A
3121579,"January 22, 2025",Ohio,"East Liverpool","15841 St Clair Ave",1,1,1,0,0,N/A
3122078,"January 22, 2025",Texas,"San Antonio","18777 Stone Oak Pkwy",0,7,1,0,0,N/A
3120848,"January 21, 2025","North Carolina",Raleigh,"633 Democracy St",1,1,1,0,0,N/A
3274923,"January 20, 2025",Texas,Houston,N/A,0,1,0,0,0,N/A
3119576,"January 19, 2025",Virginia,Richmond,"2200 block of Riverside Dr",0,1,0,0,0,N/A
3117985,"January 17, 2025",Georgia,Roswell,"500 block of Ansley Dr",0,1,1,0,0,N/A
3116910,"January 15, 2025",Texas,"San Elizario","11860 Socorro Rd",0,1,0,0,1,N/A
3113872,"January 13, 2025","District of Columbia",Washington,"320 Florida Ave NE",0,3,1,0,0,N/A
3113666,"January 11, 2025",Kentucky,Hardinsburg,"2100 block of Hwy 2779",0,1,0,0,1,N/A
3110399,"January 6, 2025",Georgia,Atlanta,"637 Lee St",0,3,1,0,0,N/A
3109112,"January 4, 2025","New Hampshire",Bedford,"250 S River Rd",0,1,0,0,1,N/A
3108841,"January 3, 2025",Indiana,"West Baden Springs","US-150 and IN-56",0,1,1,0,0,N/A
3106379,"January 1, 2025",Louisiana,"New Orleans","Bourbon St and Iberville St",1,7,1,0,0,N/A
3104306,"December 29, 2024",Tennessee,Philadelphia,"2300 block of Reed Springs Rd",0,1,0,0,1,N/A
3102679,"December 26, 2024",Indiana,Marion,"3000 block of County Rd 450 N",0,1,0,1,1,N/A
3098753,"December 20, 2024",Louisiana,"Ville Platte","N Chataignier St",0,3,0,0,0,N/A
3099323,"December 20, 2024",Oklahoma,"Oklahoma City","6600 block of Bayberry Dr",1,2,1,0,0,N/A
3099063,"December 20, 2024",Ohio,"Dayton (Trotwood)","Shiloh Springs Rd and Olive Rd",0,1,1,0,0,N/A
3098084,"December 19, 2024",Texas,Forney,"Falcon Way and Jersey Ln",0,5,0,0,0,N/A
3093561,"December 13, 2024",Georgia,"Young Harris","Plott Town Rd",0,1,0,0,0,N/A
3093761,"December 13, 2024",Arizona,Tempe,"S Rural Rd and E Baseline Rd",0,1,1,0,0,N/A
3093841,"December 13, 2024",Vermont,"Saint Johnsbury","261 Portland St",0,1,0,0,1,N/A
3092436,"December 11, 2024",Oklahoma,Muskogee,"900 Block of N M St",0,1,0,1,1,N/A
3091670,"December 10, 2024",Texas,Abilene,"1700 block of Roosevelt St",0,1,0,0,0,N/A
3089304,"December 7, 2024",Florida,Deltona,"101 Howland Blvd",0,1,0,0,0,N/A
3089011,"December 7, 2024",Illinois,Cicero,"6121 W 35th St",0,1,0,0,2,N/A
3083965,"November 29, 2024","West Virginia",Bolt,"E Breckenridge Village",0,1,1,0,0,N/A
3082364,"November 27, 2024",Georgia,Decatur,"1100 Waldrop Pl",0,2,0,0,1,N/A
3081664,"November 26, 2024",Michigan,"Lincoln Park","26400 block of Outer Dr",0,1,0,1,1,N/A
3078054,"November 21, 2024",Louisiana,Alexandria,"6410 Masonic Dr",0,1,0,1,1,N/A
3075774,"November 19, 2024",Illinois,Chicago,"5600 block of W Leland Ave",0,1,0,0,0,N/A
3076833,"November 19, 2024",California,"Long Beach","5200 Atlantic Ave",0,1,1,0,0,N/A
3076322,"November 19, 2024",Kentucky,Louisville,"400 block of Roselane St",0,2,0,1,1,N/A
3075052,"November 18, 2024",Ohio,"North Canton","6880 Sunset Strip Ave NW",0,1,1,0,0,N/A
3085790,"November 17, 2024",Missouri,Lawson,"213 Montgomery St",1,1,1,0,0,N/A
3073352,"November 15, 2024",Pennsylvania,Pottstown,"200 block of Chestnut St",0,1,0,0,1,N/A
3072066,"November 13, 2024",Georgia,Palmetto,"US-29 and Tommy Lee Cook Rd",0,1,1,0,0,N/A
3071583,"November 13, 2024",California,"San Diego","1300 block of Union St",2,1,1,0,0,N/A
3067617,"November 8, 2024",Nevada,Gardnerville,"Short Ct and Pit Rd",0,1,1,0,0,N/A
3065028,"November 6, 2024",Kentucky,"Bowling Green","822 Woodway St",0,2,1,0,0,N/A
3065661,"November 6, 2024",Michigan,Onsted,"500 block of Pentecost Hwy",0,2,1,0,0,N/A
3061656,"November 1, 2024",Georgia,"Valdosta (Remerton)","1923 Baytree Pl",1,1,1,0,9,N/A
3062196,"November 1, 2024",California,"Los Angeles","9217 S Central Ave",0,2,0,1,1,N/A
3061069,"October 30, 2024","New York","West Hempstead","Southern State Pkwy",0,1,0,0,0,N/A
3059947,"October 29, 2024",Georgia,Atlanta,"75 14th St NE",0,1,0,1,1,N/A
3057012,"October 26, 2024",California,Fresno,"S 8th St and E Verrue Ave",1,1,1,0,0,N/A
3052221,"October 21, 2024",Colorado,Denver,"1201 5th St",0,1,0,0,1,N/A
3048064,"October 15, 2024",Colorado,Elizabeth,"175 E Spruce St",0,1,1,0,0,N/A
3048717,"October 15, 2024",Texas,Orange,"N 15th St and W Green Ave",0,1,1,0,0,N/A
3046990,"October 14, 2024",Missouri,Columbia,I-70,0,2,1,0,0,N/A
3047192,"October 14, 2024",Michigan,Detroit,"Davison and St Aubin St",0,2,1,0,0,N/A
3047278,"October 13, 2024","New Mexico",Albuquerque,"Cochiti Rd SE and Britt St SE",0,1,1,0,0,N/A
3047261,"October 12, 2024",Texas,Jacksboro,"12000 block of US-380",0,1,0,0,1,N/A
3045280,"October 11, 2024",Arkansas,Newport,US-67,0,2,1,0,0,N/A
3044460,"October 10, 2024",Florida,Hollywood,"N 66th Terrace and Eaton St",0,1,1,0,0,N/A
3043697,"October 9, 2024",Colorado,Thornton,"16000 block of Columbine St",0,1,1,0,0,N/A
3040092,"October 3, 2024",Texas,Memphis,"221 Robertson St",0,1,0,0,1,N/A
3039371,"October 3, 2024",Illinois,Chicago,"5600 block of S Shields Ave",0,1,0,1,0,N/A
3036731,"September 28, 2024",Ohio,Proctorville,"17 Township Rd 1138",0,1,0,1,1,N/A
3036030,"September 27, 2024",Georgia,Smyrna,"2500 S Cobb Dr",0,2,1,0,0,N/A
3034863,"September 25, 2024",Texas,Danbury,"1000 block of Ave C",0,1,0,0,1,N/A
3033774,"September 25, 2024",Michigan,Detroit,"2400 block of Highland St",0,1,0,0,1,N/A
3033592,"September 24, 2024",Mississippi,"Biloxi (D'iberville)","Rodriguez St and Gorenflo Rd",0,1,0,0,3,N/A
3032252,"September 23, 2024",Alaska,Anchorage,"7122 E 6th Ave",0,3,0,0,1,N/A
3031390,"September 22, 2024","North Carolina",Charlotte,"8925 Nations Ford Rd",0,1,1,0,0,N/A
3032388,"September 21, 2024","District of Columbia",Washington,"32nd St NW and Fessenden St NW",0,1,0,0,0,N/A
3029663,"September 19, 2024",Alabama,Decatur,N/A,0,2,0,0,0,N/A
3029020,"September 19, 2024","South Carolina","Mc Bee","11th St and Pine Ave",0,2,1,0,0,N/A
3028965,"September 19, 2024",Virginia,Richmond,"2300 block of Fairfield Ave",0,1,0,0,1,N/A
3028977,"September 19, 2024",Virginia,Manassas,"Doane Dr",0,1,0,0,0,N/A
3028840,"September 19, 2024",Pennsylvania,Philadelphia,"3901 Whitaker Ave",0,1,0,0,0,N/A
3026377,"September 17, 2024",Texas,Houston,"7100 block of Alderney Dr",0,1,0,0,2,N/A
3025629,"September 16, 2024",Georgia,Atlanta,"3493 Donald Lee Hollowell Parkway",0,1,0,0,0,N/A
3025222,"September 16, 2024",Iowa,"Des Moines","E 24th St and Easton Blvd",0,2,1,0,0,N/A
3024881,"September 15, 2024","New York",Brooklyn,"Sutter Ave and Van Sinderen Ave",0,3,0,1,1,N/A
3025102,"September 14, 2024",Ohio,Portsmouth,"53 Liberty Ave",0,1,0,0,1,N/A
3023137,"September 11, 2024",Georgia,Trion,"919 Allgood St",0,1,0,0,0,N/A
3021277,"September 10, 2024","New Jersey",Paterson,"10 block of Valley Rd",0,1,0,0,0,N/A
3021916,"September 10, 2024","New Jersey",Wayne,"214 Oldham Rd",0,1,0,0,0,N/A
3018524,"September 7, 2024",Colorado,Westminster,"US-36 and Federal Blvd",0,1,1,0,0,N/A
3016430,"September 5, 2024",Wisconsin,Milwaukee,"N 91st St and W Custer Ave",0,3,0,1,1,N/A
3015608,"September 4, 2024",Illinois,Macomb,"300 block of N Normal St",0,2,0,0,1,N/A
3014236,"September 3, 2024",Arizona,Phoenix,"N 15th St and McDowell Rd",1,1,0,0,1,N/A
3015292,"September 3, 2024",California,Modesto,"1300 block of Imperial Ave",0,1,0,0,0,N/A
3009939,"August 30, 2024",Texas,Beaumont,"700 block of Palm St",0,1,1,0,0,N/A
3296837,"August 29, 2024",Virginia,Hampton,"Sergeant St",1,0,0,0,0,N/A
3009565,"August 29, 2024",Texas,Dallas,"907 E Ledbetter Dr",1,3,1,0,0,N/A
3008790,"August 29, 2024",Texas,Princeton,"Dahlia Way and N Princeton Xrds",0,1,0,1,0,N/A
3007278,"August 27, 2024",Georgia,Stockbridge,"404 Linden Ln",0,1,1,0,0,N/A
3007271,"August 27, 2024",Georgia,Eastman,"5000 block of Dodge Ave",0,1,1,0,0,N/A
3003884,"August 23, 2024",Kentucky,Murray,"1300 block of Johnson Blvd",0,1,0,1,1,N/A
3002859,"August 21, 2024",Georgia,Conyers,"1385 Old McDonough Hwy",0,1,1,0,0,N/A
3002931,"August 21, 2024",Illinois,Alton,"2300 block of E Broadway",0,2,1,0,0,N/A
2994435,"August 13, 2024",Arizona,"Tucson (Drexel Heights)","Jeffrey Rd and Camino De Oeste",0,1,0,0,2,N/A
2993055,"August 11, 2024",Texas,Mansfield,N/A,0,1,0,0,1,N/A
2993784,"August 11, 2024",Oklahoma,Colbert,"OK-78 and Camino Dr",0,1,0,1,1,N/A
2998247,"August 10, 2024",California,Chico,"3100 block of Rogue River Dr",0,1,0,0,1,N/A
2991500,"August 10, 2024",Texas,Forney,"5525 FM-741",0,2,1,0,0,N/A
2991288,"August 9, 2024",Virginia,Marion,"VA-16 and Hatchery Dr",1,1,1,0,0,N/A
2990291,"August 8, 2024",Mississippi,Summit,"W Railroad Ave and Baldwin St",1,2,1,0,0,N/A
2990312,"August 8, 2024",Texas,"League City","Glen Cove Blvd",0,1,0,0,1,N/A
2989960,"August 7, 2024",Texas,"Fort Worth","2916 Elinor St",0,1,1,0,0,N/A
2985447,"August 2, 2024",Mississippi,Clarksdale,"201 McGuire Cove",0,1,1,0,0,N/A
2985812,"August 2, 2024",Florida,Eustis,"38144 Brookside Dr",1,2,3,0,0,N/A
2984501,"August 1, 2024","New York","New York (Manhattan)","Delancey St and Eldridge St",0,2,0,0,1,N/A
2982670,"July 30, 2024",Iowa,"Des Moines","E Army Post Rd and SE 45th St",0,1,1,0,0,N/A
